,index,tournament_type,name,location,date,url,matches_downloaded
579,19,WSA Tour 4,Montreal Open (W),"Montreal, Canada",2 Mar 2012,http://www.squashinfo.com/events/4882-womens-montreal-open-2012,True
580,0,WSA Tour 4,Savcor Finnish Open (W),"Mikkeli, Finland",13 Feb 2012,http://www.squashinfo.com/events/4870-womens-finnish-open-2012,True
581,1,WSA Tour 8,Delaware Open (W),"Wilmington, Delaware, USA",5 Feb 2012,http://www.squashinfo.com/events/4869-womens-delaware-open-2012,True
582,2,WSA Tour 8,Meadowood Pharmacy Winnipeg Winter Club Open (W),"Winnipeg, Canada",5 Feb 2012,http://www.squashinfo.com/events/4868-womens-winnipeg-winter-club-open-2012,True
583,3,WSA Gold 45,Tub O’ Towels Cleveland Classic (W),"Cleveland, Ohio, USA",1 Feb 2012,http://www.squashinfo.com/events/4849-womens-cleveland-classic-2012,True
584,4,WSA Tour 4,SRAM NSC Series No2 (W),"Kuala Lumpur, Malaysia",30 Jan 2012,http://www.squashinfo.com/events/4853-womens-nsc-series-no2-2012,True
585,5,WSA Tour 4,Artemis Edinburgh Open (W),"Edinburgh, Scotland",29 Jan 2012,http://www.squashinfo.com/events/4844-womens-edinburgh-open-2012,True
586,6,WSA Silver 20,JP Morgan Tournament of Champions (W),"New York, USA",26 Jan 2012,http://www.squashinfo.com/events/4841-womens-tournament-of-champions-2012,True
587,7,WSA Tour 4,Australia Day Challenge (W),"Carseldine, Queensland, Australia",22 Jan 2012,http://www.squashinfo.com/events/4840-womens-australia-day-challenge-2012,True
588,8,WSA Silver 30,GLO Greenwich Open (W),"Greenwich, CT, USA",22 Jan 2012,http://www.squashinfo.com/events/4839-womens-greenwich-open-2012,True
589,9,WSA Tour 4,Liberty Bell Open (W),"Berwyn, PA, USA",15 Jan 2012,http://www.squashinfo.com/events/4832-womens-liberty-bell-open-2012,True
590,10,WSA World Grand Prix Finals,ATCO WSA World Series Finals (W),"London, England",8 Jan 2012,http://www.squashinfo.com/events/4816-womens-world-series-finals-2012,True
591,11,WSA Tour 12,Crocodile Challenge Cup (W),Hong Kong,18 Dec 2011,http://www.squashinfo.com/events/4797-womens-crocodile-challenge-cup-2011,True
592,12,WSA Tour 4,Manor Open (W),"Ilkeston, England",18 Dec 2011,http://www.squashinfo.com/events/4798-womens-manor-open-2011,True
593,13,WSA Tour 4,Coronation London Open (W),"London, England",4 Dec 2011,http://www.squashinfo.com/events/4748-womens-london-open-2011,True
594,14,WSA Gold 60,Cathay Pacific Sun Hung Kai Financial Hong Kong Open (W),Hong Kong,20 Nov 2011,http://www.squashinfo.com/events/4721-womens-hong-kong-open-2011,True
595,15,WSA Tour 4,Caboolture Open (W),"Caboolture, Australia",13 Nov 2011,http://www.squashinfo.com/events/4746-womens-caboolture-open-2011,True
596,16,WSA Tour 4,Indian Summer Tournament (W),"St Paul, Minnesota, USA",13 Nov 2011,http://www.squashinfo.com/events/4743-womens-indian-summer-tournament-2011,True
597,17,WSA Tour 12,Macau Open (W),"Taipa, Macau",13 Nov 2011,http://www.squashinfo.com/events/4745-womens-macau-open-2011,True
598,18,WSA Tour 4,Mackay Open (W),"Mackay, Queensland, Australia",6 Nov 2011,http://www.squashinfo.com/events/4733-womens-mackay-open-2011,True
599,19,WSA Platinum,World Open (W),"Rotterdam, Netherlands",6 Nov 2011,http://www.squashinfo.com/events/4360-womens-world-open-2011,True
600,0,WSA Tour 4,Santiago Open (W),"Santiago de Compostela, Spain",22 Oct 2011,http://www.squashinfo.com/events/4688-womens-santiago-open-2011,True
601,1,WSA Gold 60,Qatar Classic (W),"Doha, Qatar",21 Oct 2011,http://www.squashinfo.com/events/4689-womens-qatar-classic-2011,True
602,2,WSA Tour 8,Dread Sports Series (W),"Baltimore, USA",16 Oct 2011,http://www.squashinfo.com/events/4687-womens-dread-sports-series-2011,True
603,3,WSA Silver 20,Bailian Youyicheng Shopping Mall & Yangzu Store China Open (W),"Shanghai, China",14 Oct 2011,http://www.squashinfo.com/events/4713-womens-china-open-2011,True
604,4,WSA Silver 20,Monte Carlo Classic (W),"Monte Carlo, Monaco",14 Oct 2011,http://www.squashinfo.com/events/4694-womens-monte-carlo-classic-2011,True
