,index,tournament_type,name,location,date,url,matches_downloaded
1516,16,PSA Super Satellite,NSC Super Satellite No4 (M),"Kuala Lumpur, Malaysia",21 Nov 2008,http://www.squashinfo.com/events/3498-mens-nsc-super-satellite-no4-2008,True
1517,17,PSA 1 Star,Baltimore Cup (M),"Baltimore, Maryland, USA",16 Nov 2008,http://www.squashinfo.com/events/3501-mens-baltimore-cup-2008,True
1518,18,PSA 1 Star,Kengen Parklands Open (M),"Nairobi, Kenya",15 Nov 2008,http://www.squashinfo.com/events/3507-mens-parklands-open-2008,True
1519,19,PSA Super Satellite,NSC Super Satellite No3 (M),"Kuala Lumpur, Malaysia",14 Nov 2008,http://www.squashinfo.com/events/3497-mens-nsc-super-satellite-no3-2008,True
1520,0,PSA 3 Star,Pakistan Open (M),"Islamabad, Pakistan",14 Nov 2008,http://www.squashinfo.com/events/3439-mens-pakistan-open-2008,True
1521,1,PSA Super Satellite,Flying Pig Open (M),"Cincinnati, Ohio, USA",9 Nov 2008,http://www.squashinfo.com/events/3491-mens-flying-pig-open-2008,True
1522,2,PSA 1 Star,Clearly Contacts Jericho Open (M),"Vancouver, Canada",9 Nov 2008,http://www.squashinfo.com/events/3506-mens-jericho-open-2008,True
1523,3,PSA Satellite,Palasprint Open (M),"Parma, Italy",9 Nov 2008,http://www.squashinfo.com/events/3543-mens-palasprint-open-2008,True
1524,4,PSA Satellite,Q-sourcing Rotterdam Open (M),"Rotterdam, Netherlands",9 Nov 2008,http://www.squashinfo.com/events/3503-mens-rotterdam-open-2008,True
1525,5,PSA 1.5 Star,Indian Challenger (M),"Chennai, India",8 Nov 2008,http://www.squashinfo.com/events/3540-mens-indian-challenger-2008,True
1526,6,PSA Satellite,Prague Open (M),"Prague, Czech Republic",8 Nov 2008,http://www.squashinfo.com/events/3508-mens-prague-open-2008,True
1527,7,PSA 3 Star,Santiago Open (M),"Santiago de Compostela, Spain",8 Nov 2008,http://www.squashinfo.com/events/3509-mens-santiago-open-2008,True
1528,8,PSA 2.5 Star,CNS International (M),"Karachi, Pakistan",6 Nov 2008,http://www.squashinfo.com/events/3505-mens-cns-international-2008,True
1529,9,PSA 2 Star,Ecuador Open (M),"Quito, Ecuador",2 Nov 2008,http://www.squashinfo.com/events/3462-mens-ecuador-open-2008,True
1530,10,PSA 1 Star,Saskatoon Boast Open (M),"Saskatoon, Canada",2 Nov 2008,http://www.squashinfo.com/events/3471-mens-saskatoon-boast-open-2008,True
1531,11,PSA 2 Star,African Open (M),"Lagos, Nigeria",1 Nov 2008,http://www.squashinfo.com/events/2992-mens-african-open-2008,True
1532,12,PSA Super Series Platinum,Qatar Classic (M),"Doha, Qatar",31 Oct 2008,http://www.squashinfo.com/events/3414-mens-qatar-classic-2008,True
1533,13,PSA Super Satellite,GoodLife Open (M),"Ottawa, Canada",26 Oct 2008,http://www.squashinfo.com/events/3502-mens-goodlife-open-2008,True
1534,14,PSA Super Satellite,Turin Open (M),"Turin, Italy",25 Oct 2008,http://www.squashinfo.com/events/3514-mens-turin-open-2008,True
1535,15,PSA Satellite,Goshen Open (M),"Goshen, Indiana, USA",24 Oct 2008,http://www.squashinfo.com/events/3500-mens-goshen-open-2008,True
1536,16,PSA 1 Star,Bailian New Era Mall China Open (M),"Shanghai, China",19 Oct 2008,http://www.squashinfo.com/events/3457-mens-china-open-2008,True
1537,17,PSA World Open,Hi-Tec World Open (M),"Manchester, England",19 Oct 2008,http://www.squashinfo.com/events/2809-mens-world-open-2008,True
1538,18,PSA 1 Star,Bymac Leinster Open (M),"Dublin, Ireland",5 Oct 2008,http://www.squashinfo.com/events/3493-mens-leinster-open-2008,True
1539,19,PSA Satellite,Turnstone Tilburg Open (M),"Tilburg, Netherlands",5 Oct 2008,http://www.squashinfo.com/events/2666-mens-tilburg-open-2008,True
1540,0,PSA 3 Star,Wolverhampton Open (M),"Wolverhampton, England",5 Oct 2008,http://www.squashinfo.com/events/3480-mens-wolverhampton-open-2008,True
1541,1,PSA Super Satellite,NASH Cup (M),"London, Ontario, Canada",3 Oct 2008,http://www.squashinfo.com/events/3468-mens-nash-cup-2008,True
1542,2,PSA 4 Star,Merritt Properties Open (M),"Baltimore, USA",28 Sep 2008,http://www.squashinfo.com/events/3470-mens-merritt-properties-open-2008,True
1543,3,PSA 5 Star,Internationaux de France (M),"Paris, France",27 Sep 2008,http://www.squashinfo.com/events/3428-mens-internationaux-de-france-2008,True
1544,4,PSA 3 Star,Sweet Home Chicago Open (M),"Chicago, USA",15 Sep 2008,http://www.squashinfo.com/events/3456-mens-chicago-open-2008,True
1545,5,PSA Super Satellite,Merrill Lynch Pegasus Partners Charleston Challenge (M),"Charleston, USA",13 Sep 2008,http://www.squashinfo.com/events/2781-mens-charleston-challenge-2008,True
1546,6,PSA 1.5 Star,Ornano International Open (M),"Bordeaux, France",13 Sep 2008,http://www.squashinfo.com/events/3441-mens-ornano-international-open-2008,True
1547,7,PSA 1 Star,Taiwan Open (M),"Taipei, Chinese Taipei",9 Sep 2008,http://www.squashinfo.com/events/3473-mens-taiwan-open-2008,True
1548,8,PSA 3 Star,Forexx Dutch Open (M),"Amsterdam, Netherlands",7 Sep 2008,http://www.squashinfo.com/events/3438-mens-dutch-open-2008,True
1549,9,PSA Satellite,DragonDoc Championship (M),"Atlanta, USA",25 Aug 2008,http://www.squashinfo.com/events/3440-mens-dragondoc-championship-2008,True
1550,10,PSA 3 Star,XI Abierto Colombian Open (M),"Bogota, Colombia",17 Aug 2008,http://www.squashinfo.com/events/3458-mens-colombian-open-2008,True
1551,11,PSA 1 Star,NSC 1 Star No2 (M),"Kuala Lumpur, Malaysia",16 Aug 2008,http://www.squashinfo.com/events/3431-mens-nsc-1-star-no2-2008,True
1552,12,PSA Super Series Platinum,Sky Open (M),"Cairo, Egypt",4 Aug 2008,http://www.squashinfo.com/events/3351-mens-sky-open-2008,True
1553,13,PSA 2.5 Star,Clare Valley Australian Open (M),"Clare, SA, Australia",3 Aug 2008,http://www.squashinfo.com/events/3357-mens-australian-open-2008,True
1554,14,PSA Satellite,South Australian Open (M),"Edwardstown, Australia",27 Jul 2008,http://www.squashinfo.com/events/3360-mens-south-australian-open-2008,True
1555,15,PSA 5 Star,CIMB Malaysian Open (M),"Kuala Lumpur, Malaysia",26 Jul 2008,http://www.squashinfo.com/events/3355-mens-malaysian-open-2008,True
1556,16,PSA Satellite,NSC Satellite No4 (M),"Kuala Lumpur, Malaysia",18 Jul 2008,http://www.squashinfo.com/events/3415-mens-nsc-satellite-no4-2008,True
1557,17,PSA 1 Star,Il Leone Shopping Center Mega Italia Open (M),"Brescia, Italy",12 Jul 2008,http://www.squashinfo.com/events/3413-mens-mega-italia-open-2008,True
1558,18,PSA Super Satellite,NSC Super Satellite No2 (M),"Kuala Lumpur, Malaysia",11 Jul 2008,http://www.squashinfo.com/events/3416-mens-nsc-super-satellite-no2-2008,True
1559,19,PSA 1 Star,ICL Chennai Open (M),"Chennai, India",6 Jul 2008,http://www.squashinfo.com/events/3353-mens-chennai-open-2008,True
1560,0,PSA Super Satellite,Crocodile Challenge Cup (M),Hong Kong,22 Jun 2008,http://www.squashinfo.com/events/3354-mens-crocodile-challenge-cup-2008,True
